waveobs	flux	err
565.4724672614649	0.0	0.0
565.4741456795115	0.0	0.0
565.4758240975582	0.0	0.0
565.4775025156049	0.0	0.0
565.4791809336515	0.0	0.0
565.4808593516981	0.0	0.0
565.4825377697447	0.0	0.0
565.4842161877914	0.0	0.0
565.485894605838	0.0	0.0
565.4875730238847	0.0	0.0
565.4892514419313	0.0	0.0
565.4909298599779	0.0	0.0
565.4926082780245	0.0	0.0
565.4942866960712	0.0	0.0
565.4959651141179	0.0	0.0
565.4976435321644	0.0	0.0
565.4993219502111	0.0	0.0
565.5010003682577	0.0	0.0
565.5026787863043	0.0	0.0
565.504357204351	0.0	0.0
565.5060356223976	0.0	0.0
565.5077140404442	0.0	0.0
565.5093924584909	0.0	0.0
565.5110708765375	0.0	0.0
565.5127492945841	0.0	0.0
565.5144277126307	0.0	0.0
565.5161061306774	0.0	0.0
565.517784548724	0.0	0.0
565.5194629667707	0.0	0.0
565.5211413848173	0.0	0.0
565.5228198028638	0.0	0.0
565.5244982209106	0.0	0.0
565.5261766389572	0.0	0.0
565.5278550570038	0.0	0.0
565.5295334750505	0.0	0.0
565.531211893097	0.0	0.0
565.5328903111435	0.0	0.0
565.5345687291904	0.0	0.0
565.536247147237	0.0	0.0
565.5379255652837	0.0	0.0
565.5396039833302	0.0	0.0
565.5412824013767	0.0	0.0
565.5429608194235	0.0	0.0
565.5446392374702	0.0	0.0
565.5463176555168	0.0	0.0
565.5479960735634	0.0	0.0
565.54967449161	0.0	0.0
565.5513529096565	0.0	0.0
565.5530313277034	0.0	0.0
565.55470974575	0.0	0.0
565.5563881637964	0.0	0.0
565.5580665818431	0.0	0.0
565.5597449998897	0.0	0.0
565.5614234179363	0.0	0.0
565.5631018359832	0.0	0.0
565.5647802540296	0.0	0.0
565.5664586720762	0.0	0.0
565.568137090123	0.0	0.0
565.5698155081695	0.0	0.0
565.5714939262161	0.0	0.0
565.5731723442628	0.0	0.0
565.5748507623094	0.0	0.0
565.576529180356	0.0	0.0
565.5782075984027	0.0	0.0
565.5798860164493	0.0	0.0
565.5815644344958	0.0	0.0
565.5832428525426	0.0	0.0
565.5849212705892	0.0	0.0
565.5865996886358	0.0	0.0
565.5882781066825	0.0	0.0
565.589956524729	0.0	0.0
565.5916349427758	0.0	0.0
565.5933133608224	0.0	0.0
565.594991778869	0.0	0.0
565.5966701969157	0.0	0.0
565.5983486149622	0.0	0.0
565.6000270330088	0.0	0.0
565.6017054510556	0.0	0.0
565.6033838691022	0.0	0.0
565.6050622871488	0.0	0.0
565.6067407051954	0.0	0.0
565.608419123242	0.0	0.0
565.6100975412886	0.0	0.0
565.6117759593354	0.0	0.0
565.613454377382	0.0	0.0
565.6151327954285	0.0	0.0
565.6168112134752	0.0	0.0
565.6184896315218	0.0	0.0
565.6201680495685	0.0	0.0
565.6218464676152	0.0	0.0
565.6235248856617	0.0	0.0
565.6252033037083	0.0	0.0
565.626881721755	0.0	0.0
565.6285601398016	0.0	0.0
565.6302385578483	0.0	0.0
565.6319169758949	0.0	0.0
565.6335953939415	0.0	0.0
565.6352738119881	0.0	0.0
565.6369522300348	0.0	0.0
565.6386306480814	0.0	0.0
565.6403090661281	0.0	0.0
565.6419874841747	0.0	0.0
565.6436659022213	0.0	0.0
565.645344320268	0.0	0.0
565.6470227383146	0.0	0.0
565.6487011563612	0.0	0.0
565.6503795744079	0.0	0.0
565.6520579924545	0.0	0.0
565.6537364105011	0.0	0.0
565.6554148285478	0.0	0.0
565.6570932465943	0.0	0.0
565.658771664641	0.0	0.0
565.6604500826877	0.0	0.0
565.6621285007343	0.0	0.0
565.6638069187809	0.0	0.0
565.6654853368275	0.0	0.0
565.6671637548741	0.0	0.0
565.6688421729208	0.0	0.0
565.6705205909675	0.0	0.0
565.6721990090141	0.0	0.0
565.6738774270606	0.0	0.0
565.6755558451073	0.0	0.0
565.6772342631539	0.0	0.0
565.6789126812006	0.0	0.0
565.6805910992473	0.0	0.0
565.6822695172938	0.0	0.0
565.6839479353404	0.0	0.0
565.6856263533871	0.0	0.0
565.6873047714338	0.0	0.0
565.6889831894804	0.0	0.0
565.690661607527	0.0	0.0
565.6923400255736	0.0	0.0
565.6940184436203	0.0	0.0
565.6956968616669	0.0	0.0
565.6973752797136	0.0	0.0
565.6990536977602	0.0	0.0
565.7007321158068	0.0	0.0
565.7024105338534	0.0	0.0
565.7040889519001	0.0	0.0
565.7057673699467	0.0	0.0
565.7074457879933	0.0	0.0
565.70912420604	0.0	0.0
565.7108026240866	0.0	0.0
565.7124810421332	0.0	0.0
565.7141594601799	0.0	0.0
565.7158378782265	0.0	0.0
565.7175162962731	0.0	0.0
565.7191947143198	0.0	0.0
565.7208731323664	0.0	0.0
565.722551550413	0.0	0.0
565.7242299684596	0.0	0.0
565.7259083865063	0.0	0.0
565.7275868045529	0.0	0.0
565.7292652225996	0.0	0.0
565.7309436406462	0.0	0.0
565.7326220586926	0.0	0.0
565.7343004767393	0.0	0.0
565.7359788947861	0.0	0.0
565.7376573128327	0.0	0.0
565.7393357308794	0.0	0.0
565.7410141489258	0.0	0.0
565.7426925669724	0.0	0.0
565.7443709850193	0.0	0.0
565.7460494030659	0.0	0.0
